Table:	CodeValueList
PK	ListName	ListCode	ListCodeNum	SortSeq	CodeValue	MinValue	MaxValue	CodeDesc
22370	ApprovedBoats	CC200-57-ZO-13	112	112	Ski Nautique 200 Excalibur 343 5.7L			Old | PCM Excalibur 343 5.7L | Fuel | Trans: 1.258:1 | Propeller Mfr,Blades, Size:AC654, 4, 12.5 x 15 Nibral, AC422, 4, 12.5 x 15.5 Nibral, AC1458, 3, 14 x 13 Nibral | ZO
22371	ApprovedBoats	CC409-60-ZO-13	113	113	Ski Nautique 200 ZR409 6.0L			Old | PCM ZR409 6.0L | Fuel | Trans: 1.258:1 | Propeller Mfr,Blades, Size:AC654, 4, 12.5 x 15 Nibral, AC422, 4, 12.5 x 15.5 Nibral, AC668, 4, 12.5 x 15 Nibral, AC1458, 3, 14 x 13 Nibral | ZO
22372	ApprovedBoats	CC450-60-ZO-13	114	114	Ski Nautique 200 ZR450 6.0L			Old | PCM ZR450 6.0L | Fuel | Trans: 1.258:1 | Propeller Mfr,Blades, Size:AC654, 4, 12.5 x 15 Nibral, AC422, 4, 12.5 x 15.5 Nibral, AC668, 4, 12.5 x 15 Nibral, AC1458, 3, 14 x 13 Nibral | ZO
22373	ApprovedBoats	MATXI-57-ZO	116	116	Malibu Response TXi 5.7L			Old | Indmar Monsoon 5.7L | Fuel | Trans: 1:1 | Propeller Mfr,Blades, Size:AC525, 3, 13 x 11.5 Nibral | ZO
22374	ApprovedBoats	MATXI-60-ZO	117	117	Malibu Response TXi 6.0L			Old | Indmar L96 6.0L | Fuel | Trans: 1:1 | Propeller Mfr,Blades, Size:AC515, 3, 13 x 12 Nibral | ZO
22375	ApprovedBoats	MC190MV8-57-ZO	120	120	MasterCraft 190 MV8 5.7L			Old | Ilmor MV8 5.7L | Fuel | Trans: 1.26:1/1.25:1 | Propeller Mfr,Blades, Size:OJ501, 4, 13 x 14.5 Nibral, OJ349, 3, 13 x 12 Nibral | ZO
22376	ApprovedBoats	MC190MV8-60-ZO	121	121	MasterCraft 190 MV8 6.0L			Old | Ilmor MV8 6.0L | Fuel | Trans: 1.22:1 | Propeller Mfr,Blades, Size:OJ501, 4, 13 x 14.5 Nibral, OJ349, 3, 13 x 12 Nibral | ZO
22377	ApprovedBoats	MC197MV8-57-ZO	124	124	MasterCraft 197 MV8 5.7L			Old | Ilmor MV8 5.7L | Fuel | Trans: 1.26:1/1.25:1 | Propeller Mfr,Blades, Size:OJ501, 4, 13 x 14.5 Nibral, OJ349, 3, 13 x 12 Nibral | ZO
22378	ApprovedBoats	MC197MV8-60-ZO	125	125	MasterCraft 197 MV8 6.0L			Old | Ilmor MV8 6.0L | Fuel | Trans: 1.22:1 | Propeller Mfr,Blades, Size:OJ501, 4, 13 x 14.5 Nibral, OJ349, 3, 13 x 12 Nibral  | ZO
22379	ApprovedBoats	Cen-57-Z0-12	201	201	Centurion Carbon Pro 5.7L ZO			Old | PCM Excalibur 343 (5.7L) | Fuel | Trans: 1.26:1/1 | Propeller Mfr,Blades, Size:OJ, 4, 13 x 14.5 Nibral | ZO
