Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
16	Trick	MW	2	15000	0	1100	6450	0	0	0.621	3	
16	Jump	MW	3	1500	23.25	66	155	0	0	0.976	3	
16	Slalom	NM	1	1500	0	85.5	122.5	0	8	3.054	3	
16	Trick	NM	2	15000	0	1000	11070	0	0	0.457	3	
16	Jump	NM	3	1500	32.7	80	218	0	0	0.805	3	
16	Slalom	NW	1	1500	0	63	109	0	8	1.972	3	
16	Trick	NW	2	15000	0	670	10460	0	0	0.4	3	
16	Jump	NW	3	1500	23.55	49	157	0	0	0.663	3	
16	Slalom	CM	1	1500	0	85.5	122.5	0	8	3.054	3	
16	Trick	CM	2	15000	0	1000	11070	0	0	0.457	3	
16	Jump	CM	3	1500	32.7	80	218	0	0	0.805	3	
16	Slalom	CW	1	1500	0	63	109	0	8	1.972	3	
16	Trick	CW	2	15000	0	670	10460	0	0	0.4	3	
16	Jump	CW	3	1500	23.55	49	157	0	0	0.663	3	
16	Slalom	BM	1	1500	0	85.5	122.5	0	8	3.054	3	
16	Trick	BM	2	15000	0	1000	11070	0	0	0.457	3	
16	Jump	BM	3	1500	32.7	80	218	0	0	0.805	3	
16	Slalom	BW	1	1500	0	63	109	0	8	1.972	3	
16	Trick	BW	2	15000	0	670	10460	0	0	0.4	3	
16	Jump	BW	3	1500	23.55	49	157	0	0	0.663	3	
16	Slalom	IM	1	1500	0	0	74.5	0	0	0	3	
16	Trick	IM	2	15000	0	0	12570	0	0	0	3	
16	Jump	IM	3	1500	37.05	0	76.3	0	0	0	3	
16	Slalom	IW	1	1500	0	0	69.25	0	0	0	0	
16	Trick	IW	2	15000	0	0	10460	0	0	0	0	
16	Jump	IW	3	1500	26.4	0	58.6	0	0	0	0	
16	Slalom	JM	1	1500	0	0	0	0	0	0	3	
16	Trick	JM	2	15000	0	0	0	0	0	0	3	
16	Jump	JM	3	1500	37.05	0	0	0	0	0	3	
